Id,County,Province_State,Country_Region,Population,Weight,Date,Target,TargetValue
2,,,Afghanistan,27657145,0.583587374,2020-01-23,Fatalities,0
4,,,Afghanistan,27657145,0.583587374,2020-01-24,Fatalities,0
6,,,Afghanistan,27657145,0.583587374,2020-01-25,Fatalities,0
8,,,Afghanistan,27657145,0.583587374,2020-01-26,Fatalities,0
10,,,Afghanistan,27657145,0.583587374,2020-01-27,Fatalities,0
12,,,Afghanistan,27657145,0.583587374,2020-01-28,Fatalities,0
14,,,Afghanistan,27657145,0.583587374,2020-01-29,Fatalities,0
16,,,Afghanistan,27657145,0.583587374,2020-01-30,Fatalities,0
18,,,Afghanistan,27657145,0.583587374,2020-01-31,Fatalities,0
20,,,Afghanistan,27657145,0.583587374,2020-02-01,Fatalities,0
22,,,Afghanistan,27657145,0.583587374,2020-02-02,Fatalities,0
24,,,Afghanistan,27657145,0.583587374,2020-02-03,Fatalities,0
26,,,Afghanistan,27657145,0.583587374,2020-02-04,Fatalities,0
28,,,Afghanistan,27657145,0.583587374,2020-02-05,Fatalities,0
30,,,Afghanistan,27657145,0.583587374,2020-02-06,Fatalities,0
32,,,Afghanistan,27657145,0.583587374,2020-02-07,Fatalities,0
34,,,Afghanistan,27657145,0.583587374,2020-02-08,Fatalities,0
36,,,Afghanistan,27657145,0.583587374,2020-02-09,Fatalities,0
38,,,Afghanistan,27657145,0.583587374,2020-02-10,Fatalities,0
40,,,Afghanistan,27657145,0.583587374,2020-02-11,Fatalities,0
42,,,Afghanistan,27657145,0.583587374,2020-02-12,Fatalities,0
44,,,Afghanistan,27657145,0.583587374,2020-02-13,Fatalities,0
46,,,Afghanistan,27657145,0.583587374,2020-02-14,Fatalities,0
48,,,Afghanistan,27657145,0.583587374,2020-02-15,Fatalities,0
50,,,Afghanistan,27657145,0.583587374,2020-02-16,Fatalities,0
52,,,Afghanistan,27657145,0.583587374,2020-02-17,Fatalities,0
54,,,Afghanistan,27657145,0.583587374,2020-02-18,Fatalities,0
56,,,Afghanistan,27657145,0.583587374,2020-02-19,Fatalities,0
58,,,Afghanistan,27657145,0.583587374,2020-02-20,Fatalities,0
60,,,Afghanistan,27657145,0.583587374,2020-02-21,Fatalities,0
62,,,Afghanistan,27657145,0.583587374,2020-02-22,Fatalities,0
64,,,Afghanistan,27657145,0.583587374,2020-02-23,Fatalities,0
66,,,Afghanistan,27657145,0.583587374,2020-02-24,Fatalities,0
68,,,Afghanistan,27657145,0.583587374,2020-02-25,Fatalities,0
70,,,Afghanistan,27657145,0.583587374,2020-02-26,Fatalities,0
72,,,Afghanistan,27657145,0.583587374,2020-02-27,Fatalities,0
74,,,Afghanistan,27657145,0.583587374,2020-02-28,Fatalities,0
76,,,Afghanistan,27657145,0.583587374,2020-02-29,Fatalities,0
78,,,Afghanistan,27657145,0.583587374,2020-03-01,Fatalities,0
80,,,Afghanistan,27657145,0.583587374,2020-03-02,Fatalities,0
82,,,Afghanistan,27657145,0.583587374,2020-03-03,Fatalities,0
84,,,Afghanistan,27657145,0.583587374,2020-03-04,Fatalities,0
86,,,Afghanistan,27657145,0.583587374,2020-03-05,Fatalities,0
88,,,Afghanistan,27657145,0.583587374,2020-03-06,Fatalities,0
90,,,Afghanistan,27657145,0.583587374,2020-03-07,Fatalities,0
92,,,Afghanistan,27657145,0.583587374,2020-03-08,Fatalities,0
